Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Rwanda,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),54,59,65,58,53,50,43,44,46,47,48,50,46,55,52,57,49,53,52,57,54,60,57,63,
Sao Tome and Principe,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),84,84,84,87,86,84,51,63,55,59,65,68,53,50,52,49,56,62,63,60,54,56,58,56,
Senegal,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,96,95,97,98,93,95,94,94,93,88,91,91,91,82,82,83,82,80,81,83,81,85,83,
Seychelles,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,99,99,97,99,99,99,100,100,98,92,98,97,100,100,96,99,100,100,100,100,100,100,
Sierra Leone,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,91,86,92,85,82,78,81,80,76,71,71,79,70,47,48,57,65,71,68,68,74,73,71,
South Africa,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,99,99,94,95,88,94,93,92,92,92,93,93,93,98,98,98,99,99,99,98,99,98,98,
South Sudan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,,,,,,,,,,,,,,,32,42,62,56,54,49,38,
Togo,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,96,96,95,94,93,93,90,89,89,94,92,90,84,85,88,85,85,90,91,85,84,79,80,
Uganda,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),69,71,76,81,69,68,71,73,72,59,55,50,54,63,64,57,59,57,56,58,54,50,58,56,
United Republic of Tanzania,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),62,68,73,73,73,71,58,58,74,65,61,55,52,52,56,62,64,61,59,63,58,54,60,61,
Zambia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),94,90,69,62,65,54,60,66,62,50,55,54,54,44,67,64,57,68,56,42,67,51,58,52,
Zimbabwe,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,,,,,,,,73,81,85,80,80,76,70,63,70,38,44,53,49,55,
