Countries,Indicators,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
TŸrkiye,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Turkmenistan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99,100,
Ukraine,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,99,99,99,99,100,99,99,99,98,99,98,99,99,100,100,,,
United Kingdom of Great Britain and Northern Ireland,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Uzbekistan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,96,97,96,98,98,98,98,99,98,99,98,98,99,99,99,99,100,100,100,100,100,
Bangladesh,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),92,90,90,90,90,91,92,92,92,91,91,91,91,91,92,92,94,94,94,96,96,96,96,97,
Bhutan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),92,81,90,89,83,81,71,79,85,91,89,90,91,90,91,95,95,89,94,93,95,78,84,94,
India,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,98,98,98,98,98,99,98,98,99,99,99,99,100,99,99,99,99,100,99,99,99,99,98,
Maldives,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,99,99,100,99,99,100,99,100,100,99,99,99,99,100,100,100,99,98,98,85,96,98,
Myanmar,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,97,96,93,90,90,87,92,91,91,91,89,94,91,90,92,91,90,91,93,94,90,87,94,
Nepal,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),78,73,78,77,75,76,74,86,85,84,86,89,87,88,86,86,88,85,86,88,89,88,90,93,
Sri Lanka,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,99,100,99,99,99,98,99,99,99,99,99,100,99,99,99,99,97,99,98,94,89,89,94,
Thailand,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Timor-Leste,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),,,,93,80,80,64,36,60,53,63,62,69,59,66,69,61,78,72,68,62,69,77,85,
Australia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Brunei Darussalam,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cambodia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),98,93,92,89,84,86,80,71,84,84,86,89,83,86,85,81,88,91,94,93,88,90,89,89,
China,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cook Islands,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,98,98,95,90,83,93,85,92,96,94,95,95,91,88,91,91,91,93,96,96,94,97,92,
Fiji,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),92,90,91,93,86,91,95,96,94,93,94,95,93,95,96,97,97,98,93,92,94,93,93,88,
Indonesia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,96,99,99,98,98,99,98,99,98,99,99,99,99,98,100,99,99,100,99,99,98,99,99,
Japan,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kiribati,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,99,98,99,99,99,85,83,77,67,95,98,93,85,86,89,89,89,84,94,72,78,84,91,
Lao People's Democratic Republic,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),90,79,84,86,78,80,72,76,78,80,83,72,73,81,83,83,82,83,88,79,82,62,64,85,
Malaysia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Marshall Islands,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),63,60,66,66,43,32,31,40,33,35,29,49,48,53,44,43,46,43,47,46,46,44,45,77,
Micronesia (Federated States of),Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),28,27,27,27,24,18,30,27,29,21,21,26,24,26,31,28,29,28,29,31,27,20,23,29,
Mongolia,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,97,95,96,94,96,96,97,94,94,96,94,94,95,94,96,92,91,91,92,100,90,76,96,
Nauru,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),92,85,78,83,83,97,94,74,59,58,66,64,51,64,86,65,95,77,91,93,89,89,89,87,
New Zealand,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Niue,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,90,69,71,53,80,60,57,81,79,83,72,64,67,72,65,68,74,69,52,42,46,
Palau,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),74,73,78,77,70,67,71,70,70,75,68,75,76,78,79,80,82,81,82,83,79,79,80,81,
Papua New Guinea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),94,81,72,67,74,74,75,75,80,77,74,78,78,73,68,88,82,84,80,68,79,60,68,82,
Philippines,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,96,97,97,96,96,96,98,99,98,98,99,99,98,99,99,98,98,100,100,99,95,100,100,
Republic of Korea,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Samoa,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,97,90,83,81,83,84,83,92,91,89,81,93,77,88,81,80,89,91,88,87,84,84,83,
Singapore,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Solomon Islands,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),97,96,59,77,66,73,68,72,61,50,67,60,63,64,63,72,73,78,80,77,78,73,73,66,
Tonga,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),99,88,89,88,68,75,65,82,59,95,74,71,42,81,67,71,69,62,62,62,64,55,55,56,
Tuvalu,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),100,95,94,92,96,98,84,95,98,83,87,88,91,77,87,79,84,79,85,78,84,53,77,73,
Vanuatu,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),85,85,76,84,79,78,77,84,85,74,67,77,69,61,28,59,58,65,74,65,74,38,51,68,
Viet Nam,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),96,96,96,95,95,96,96,97,98,98,98,98,98,97,97,98,98,99,99,99,98,99,98,99,
