date,cpi_value,year_month,RPI,Percent Change,avg_price_per_unit,num_drugs,year_month_dt
2025-01,572.655,2025-01,20388.396,0.2463234632514632,2.2797339047619047,206,2025-01-01
2025-02,572.748,2025-02,20413.875,0.1249681436440663,1.069007990430622,196,2025-02-01
2025-03,561.202,2025-03,20547.128,0.6527570096319213,0.9098584313725491,195,2025-03-01
2025-04,563.253,2025-04,20658.839,0.5436818225885265,0.8236752709359607,194,2025-04-01
2025-05,566.716,2025-05,20514.16,-0.7003249311347992,1.712881359223301,202,2025-05-01
2025-06,569.098,2025-06,20494.762,-0.0945590752923886,1.9763123076923075,203,2025-06-01
2025-07,567.975,2025-07,20596.762,0.4976881409991529,1.9449652173913043,203,2025-07-01
2025-08,567.117,2025-08,20643.762,0.2281912079189929,1.841542027027027,202,2025-08-01
2025-09,569.046,2025-09,20670.742,0.1306932331422983,1.9124795348837211,202,2025-09-01
2025-11,568.885,2025-11,20683.802,0.1427595084727118,1.4985856730769231,200,2025-11-01
2025-12,569.656,2025-12,20670.273,-0.065408670997713,1.5543355299539172,199,2025-12-01
