Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Georgia,Internal transfers and grants,Million NCU,35,57,68,65,119,144,168,186,235,220,257,236,252,269,586,896,"1,050","1,071","1,252","1,338","1,823","2,695","2,230","1,790",
Germany,Internal transfers and grants,Million NCU,"18,534","19,375","19,852","20,579","20,494","20,172","20,191","20,576","21,212","21,817","22,286","22,533","23,176","24,015","25,058","26,227","27,838","27,691","28,380","30,019","43,034","56,273","63,227","41,893",
Greece,Internal transfers and grants,Million NCU,"3,549","4,325","4,580","5,220","4,975","6,257","6,540","7,574","8,738","9,586","9,274","7,567","5,914","5,741","4,872","4,747","4,903","4,215","4,146","4,288","4,643","5,600","5,933","5,822",
Hungary,Internal transfers and grants,Million NCU,"103,689","97,146","154,479","377,512","386,865","432,879","247,081","202,188","214,520","340,786","295,134","289,543","502,319","480,489","547,646","652,971","695,224","722,616","738,732","933,514","1,262,462","1,588,128","1,490,450","1,637,123",
Iceland,Internal transfers and grants,Million NCU,"51,007","56,627","65,365","69,328","73,280","76,924","85,569","95,026","109,042","116,513","112,250","116,754","121,563","130,235","139,480","152,114","167,263","180,338","198,003","216,822","235,842","266,523","298,540","315,837",
Ireland,Internal transfers and grants,Million NCU,"4,942","6,098","7,141","8,004","8,869","10,226","10,776","12,145","13,505","13,696","13,368","13,074","13,340","13,002","13,162","13,790","14,561","15,410","16,492","17,625","20,544","22,024","23,819","25,483",
Israel,Internal transfers and grants,Million NCU,"13,986","14,838","15,885","15,337","15,730","16,014","17,701","17,972","18,942","20,667","22,115","23,221","25,641","27,667","30,233","31,737","33,660","36,083","38,957","41,251","49,105","61,351","48,208","55,370",
Italy,Internal transfers and grants,Million NCU,"68,141","75,089","79,547","82,223","90,334","96,402","101,736","101,679","108,379","110,309","112,495","111,038","107,938","106,797","108,247","108,559","109,658","110,901","112,637","113,581","120,863","127,178","130,030","130,575",
Kazakhstan,Internal transfers and grants,Million NCU,"55,107","63,912","73,025","94,207","136,568","192,601","237,024","230,765","365,579","453,600","402,277","520,361","641,980","664,900","846,410","784,937","958,330","1,029,213","1,059,770","1,161,718","1,320,802","1,473,192","1,553,037","1,992,546",
Kyrgyzstan,Internal transfers and grants,Million NCU,"1,233","1,322","1,477","1,581","1,852","3,414","4,292","3,697","4,667","6,012","6,497","9,202","11,359","12,208","9,360","10,018","10,105","10,236","11,491","11,632","11,373","19,952","22,985","27,650",
Latvia,Internal transfers and grants,Million NCU,189,210,240,261,387,444,604,762,826,691,664,718,716,738,770,815,869,920,"1,077","1,215","1,392","2,106","1,894","1,704",
Liechtenstein,Internal transfers and grants,Million NCU,,,,,,,,,,,,,,54,50,52,54,55,62,63,69,83,76,73,
Lithuania,Internal transfers and grants,Million NCU,37,66,132,165,59,84,84,143,211,212,196,195,191,187,229,238,242,244,248,272,370,515,421,370,
Luxembourg,Internal transfers and grants,Million NCU,477,544,598,640,717,762,795,824,909,987,"1,002",872,846,906,966,986,"1,035","1,087","1,147","1,251","1,440","1,622","1,662","1,747","1,918"
Malta,Internal transfers and grants,Million NCU,196,206,245,264,274,309,326,316,316,322,350,377,405,456,490,541,596,655,704,811,944,"1,070","1,113","1,199",
Monaco,Internal transfers and grants,Million NCU,4,4,4,5,6,6,6,6,7,7,8,8,8,9,9,9,14,13,14,16,16,18,17,13,
Montenegro,Internal transfers and grants,Million NCU,,,,,,,,,,,,27,28,29,30,62,50,33,41,48,62,144,424,461,
Netherlands (Kingdom of the),Internal transfers and grants,Million NCU,"1,656","1,852","2,133","2,215","2,212","2,507","2,747","3,055","3,170","3,347","3,337","3,377","3,482","3,479","3,565","4,437","4,437","4,600","4,943","5,393","9,847","13,342","9,982","8,492",
North Macedonia,Internal transfers and grants,Million NCU,314,338,365,287,272,292,364,567,526,603,904,"1,062",942,"1,552","1,710","2,350","1,861","1,192","1,728","2,208","3,511","4,302","3,426","3,817",
Norway,Internal transfers and grants,Million NCU,"94,951","103,905","116,455","124,178","130,572","137,644","146,157","158,370","174,617","186,070","195,430","207,208","220,517","233,172","250,329","269,548","280,159","289,366","305,311","321,825","339,961","364,532","388,465","414,204",
Poland,Internal transfers and grants,Million NCU,"2,780","3,208","3,540","3,243","4,644","4,126","4,449","4,607","4,934","5,022","5,427","6,193","6,481","10,576","10,118","10,813","11,753","13,440","13,293","14,606","14,812","25,482","24,726","26,436",
Portugal,Internal transfers and grants,Million NCU,"7,601","8,107","8,888","9,279","10,097","10,706","9,709","10,013","10,541","11,132","11,785","10,848","9,749","9,780","9,759","10,093","10,539","10,879","11,512","12,080","13,286","14,800","15,594","16,011",
Republic of Moldova,Internal transfers and grants,Million NCU,474,546,800,876,724,616,766,972,633,646,584,558,810,712,"1,073",690,253,108,443,562,630,694,403,500,
Romania,Internal transfers and grants,Million NCU,382,707,985,"1,389","1,691","2,392","1,836","3,131","4,533","4,977","8,945","5,137","6,246","10,509","8,769","7,690","7,626","9,397","13,075","17,508","23,514","24,786","26,756","26,695",
Russian Federation,Internal transfers and grants,Million NCU,"137,531","173,898","218,860","252,172","303,181","382,252","466,598","589,461","845,300","858,371","928,710","901,822","1,110,027","1,057,311","1,138,621","1,006,003","963,583","1,039,373","1,231,165","1,651,421","3,967,744","4,018,749","4,842,057","5,518,537",
San Marino,Internal transfers and grants,Million NCU,47,50,49,47,52,55,59,65,71,74,76,93,100,93,92,93,98,98,103,104,103,104,111,106,
Serbia,Internal transfers and grants,Million NCU,"1,312","2,810","4,508","5,152","5,917","6,916","7,502","9,167","12,678","10,887","8,557","9,488","12,888","12,705","11,813","12,113","33,171","34,334","36,580","36,503","30,347","93,953","98,719","103,299",
Slovakia,Internal transfers and grants,Million NCU,144,156,178,190,218,254,247,285,319,359,356,379,377,372,210,235,248,138,138,158,302,735,864,361,
Slovenia,Internal transfers and grants,Million NCU,45,49,58,61,69,80,85,87,92,99,116,117,118,140,119,105,136,142,178,236,463,624,788,772,
Spain,Internal transfers and grants,Million NCU,"29,322","31,441","33,781","40,797","44,308","48,540","53,547","58,343","64,775","69,802","69,450","68,351","64,819","62,405","62,595","66,766","67,847","69,795","72,282","76,334","85,121","90,073","93,149","96,660",
Sweden,Internal transfers and grants,Million NCU,"150,925","161,780","175,391","186,265","189,716","196,023","205,942","217,551","229,765","240,271","243,452","328,824","339,896","351,283","368,684","387,660","405,611","424,149","449,042","467,141","493,653","526,394","546,678","596,404",
Switzerland,Internal transfers and grants,Million NCU,"7,567","8,673","9,625","9,979","9,946","10,074","10,035","10,518","12,557","13,600","14,416","15,244","16,696","16,839","17,230","17,629","18,282","18,798","18,816","19,285","21,468","22,774","23,072","21,453",
Tajikistan,Internal transfers and grants,Million NCU,16,22,27,37,55,71,87,138,241,224,292,393,582,770,948,990,"1,090","1,281","1,348","1,501","1,806","1,962","2,068","2,457",
TŸrkiye,Internal transfers and grants,Million NCU,"2,041","3,620","5,339","6,397","7,504","9,102","11,138","13,182","13,985","17,138","15,784","17,675","14,996","16,320","18,917","21,158","25,354","28,910","35,343","44,006","57,974","94,768","149,936","337,669",
Turkmenistan,Internal transfers and grants,Million NCU,168,203,220,322,358,361,344,375,468,672,773,"1,060","1,279","1,642","1,839","1,890","1,558","2,055","1,708","1,871","1,877","2,011","2,180","2,568",
Ukraine,Internal transfers and grants,Million NCU,"4,417","5,695","6,925","9,749","11,726","16,415","21,103","25,774","30,466","35,122","39,790","44,515","52,558","48,953","54,846","73,346","86,963","104,935","124,664","125,385","156,968","232,321","232,269","229,506",
United Kingdom of Great Britain and Northern Ireland,Internal transfers and grants,Million NCU,"59,221","64,212","71,429","78,793","87,632","94,626","102,851","108,130","116,225","125,305","128,303","132,265","136,278","140,239","146,636","150,195","156,003","159,284","165,759","176,024","212,440","229,616","228,398","241,883",
Uzbekistan,Internal transfers and grants,Million NCU,"81,900","125,600","180,600","233,788","277,405","362,374","501,698","635,146","906,626","1,227,791","1,675,684","2,156,401","2,980,629","3,681,266","4,321,489","5,218,500","5,249,735","6,373,449","8,230,394","11,957,394","18,766,049","22,281,078","22,243,400","28,426,000",
Bangladesh,Internal transfers and grants,Million NCU,"16,353","13,400","17,700","20,144","22,081","23,043","27,666","32,178","33,380","36,759","44,963","52,914","59,370","62,800","67,932","70,534","98,719","116,798","128,184","106,564","112,795","136,994","135,807","141,150",
Bhutan,Internal transfers and grants,Million NCU,654,724,784,763,897,873,921,"1,172","1,189","1,482","1,673","1,890","2,243","2,530","2,692","3,417","3,621","3,640","4,094","4,585","5,970","4,481","4,624","7,022",
India,Internal transfers and grants,Million NCU,"165,931","172,276","176,261","192,470","208,290","253,433","286,413","326,328","386,566","496,227","564,811","696,792","775,863","890,553","1,001,599","1,180,088","1,361,886","1,562,790","1,747,625","1,968,297","2,289,280","3,064,070","3,561,100","3,809,825",
Maldives,Internal transfers and grants,Million NCU,242,263,270,289,363,442,597,936,"1,860","1,748","1,489","1,490","1,867","2,177","2,789","2,472","3,221","2,934","4,630","5,126","5,225","4,752","5,298","7,402",
Myanmar,Internal transfers and grants,Million NCU,"6,967","8,267","18,426","18,312","23,915","20,363","44,047","45,875","48,758","60,695","67,045","94,407","201,759","329,655","647,195","816,100","513,922","602,725","647,984","655,006","760,865","970,411","628,216","702,629",
Nepal,Internal transfers and grants,Million NCU,"2,258","2,942","4,154","3,707","3,961","5,064","6,320","5,631","6,617","8,979","10,757","12,421","13,834","14,688","19,394","21,899","26,179","32,452","35,252","39,738","56,133","74,638","93,131","85,063",
Sri Lanka,Internal transfers and grants,Million NCU,"33,611","36,397","41,279","42,825","52,058","58,483","67,457","77,556","85,855","93,202","99,264","113,037","124,244","165,317","165,534","185,477","197,756","191,417","249,778","270,895","331,609","391,708","358,479","330,612",
Thailand,Internal transfers and grants,Million NCU,"77,930","77,714","108,589","116,182","125,074","133,506","165,607","196,616","228,541","227,329","240,621","276,905","293,940","301,043","327,088","333,175","369,064","380,040","395,725","400,431","420,293","480,044","588,992","570,751",
Timor-Leste,Internal transfers and grants,Million NCU,,,,6,7,10,11,5,22,24,29,37,48,62,60,70,57,71,62,59,87,113,172,155,
Australia,Internal transfers and grants,Million NCU,"36,708","39,332","43,387","46,315","51,122","54,459","59,299","65,829","71,783","77,213","81,975","88,646","90,015","89,216","106,225","114,015","120,774","127,308","134,105","143,314","157,563","178,718","182,195","197,792",
Brunei Darussalam,Internal transfers and grants,Million NCU,246,236,246,273,313,329,329,346,381,375,391,398,402,389,384,403,381,360,420,387,383,376,375,418,
Cambodia,Internal transfers and grants,Million NCU,"182,033","185,244","235,038","275,284","294,296","314,338","286,529","338,108","425,688","517,417","636,107","657,477","777,934","889,934","892,428","981,947","1,114,826","1,260,255","1,462,584","1,632,664","1,779,005","4,347,082","1,739,852","1,898,732",
China,Internal transfers and grants,Million NCU,"43,511","50,928","60,667","73,022","81,533","97,352","109,944","149,913","184,513","246,020","298,817","369,717","421,813","455,595","502,269","608,373","718,930","760,593","847,013","889,293","1,100,173","1,067,037","1,725,015","1,571,686",
Cook Islands,Internal transfers and grants,Million NCU,6,7,8,8,8,8,9,9,9,11,11,11,10,10,12,11,13,10,12,16,24,22,24,22,
Fiji,Internal transfers and grants,Million NCU,102,85,96,106,114,133,144,147,135,133,142,139,147,156,189,205,216,231,285,311,288,326,344,324,
Indonesia,Internal transfers and grants,Million NCU,"7,692,748","12,534,812","12,218,977","16,362,375","16,931,611","18,340,725","23,459,624","35,895,880","40,881,304","45,703,112","33,865,932","40,292,474","48,663,788","54,698,664","60,988,186","75,371,583","99,816,681","92,911,765","114,675,891","106,630,225","196,656,405","277,387,056","148,460,894","135,752,835",
Japan,Internal transfers and grants,Million NCU,"3,068,360","3,215,855","3,275,645","3,337,890","3,394,477","3,380,766","3,426,413","3,462,239","3,747,740","4,088,514","4,309,571","4,589,415","4,684,946","4,591,866","4,844,452","4,863,791","4,956,908","4,974,121","4,841,364","4,963,561","7,288,182","9,992,571","10,310,656","4,802,226",
Kiribati,Internal transfers and grants,Million NCU,10,14,15,14,17,16,14,15,18,15,14,14,14,15,16,16,21,24,28,29,31,34,33,37,
Lao People's Democratic Republic,Internal transfers and grants,Million NCU,"167,948","213,997","189,204","243,343","201,581","272,298","229,222","229,142","250,317","607,065","345,109","246,347","328,360","616,730","652,925","919,657","880,407","1,045,046","1,020,189","1,257,876","1,180,855","1,184,715","1,203,301","1,284,566",
Malaysia,Internal transfers and grants,Million NCU,"4,494","5,127","5,637","6,854","7,439","7,664","10,365","11,206","12,794","13,425","13,853","16,162","18,194","19,343","22,525","23,672","23,293","26,050","27,488","30,006","30,464","37,650","34,901","35,331",
Marshall Islands,Internal transfers and grants,Million NCU,4,4,5,5,2,2,3,3,2,3,3,3,3,4,3,3,4,5,5,6,5,5,5,16,
Micronesia (Federated States of),Internal transfers and grants,Million NCU,0,1,1,1,1,0,0,0,2,0,1,3,1,2,3,2,3,2,3,4,4,3,4,5,
Mongolia,Internal transfers and grants,Million NCU,"40,493","31,599","33,771","32,651","42,846","46,823","74,824","115,232","160,469","144,980","159,725","192,058","277,534","313,065","353,563","348,193","248,239","266,089","278,412","375,075","470,775","413,409","166,543","217,178",
Nauru,Internal transfers and grants,Million NCU,7,5,4,3,2,4,4,5,5,4,4,4,4,5,7,9,13,12,17,18,18,22,33,34,
New Zealand,Internal transfers and grants,Million NCU,"6,171","6,641","7,505","7,925","8,908","9,794","10,808","11,571","11,904","12,841","13,551","14,329","14,796","15,249","15,701","15,988","16,396","17,257","17,853","18,924","21,076","24,001","31,056","30,591",
Niue,Internal transfers and grants,Million NCU,1,6,2,2,2,2,9,3,3,4,3,4,2,2,2,2,2,2,2,2,3,3,3,3,
Palau,Internal transfers and grants,Million NCU,7,6,6,6,7,6,7,7,6,7,8,8,8,9,9,8,10,10,10,11,11,11,12,12,
Papua New Guinea,Internal transfers and grants,Million NCU,218,228,269,248,307,327,371,412,425,444,449,569,721,846,"1,029",688,965,"1,095","1,163","1,016","1,180",947,"1,427","2,075",
Philippines,Internal transfers and grants,Million NCU,"42,185","37,581","32,720","41,320","45,703","58,821","65,608","72,072","80,053","90,528","105,105","86,728","97,428","111,163","118,984","153,725","169,840","197,517","234,070","277,990","364,140","393,949","435,912","479,686",
Republic of Korea,Internal transfers and grants,Million NCU,"1,146,470","5,522,393","6,249,110","7,063,029","7,465,326","8,416,310","9,349,446","9,541,148","11,075,665","13,418,502","14,184,014","14,610,869","15,307,851","16,446,203","17,850,981","19,894,645","20,647,940","21,895,971","23,237,713","25,962,867","31,955,170","43,252,284","51,376,818","39,429,451","40,688,985"
Samoa,Internal transfers and grants,Million NCU,30,29,34,31,36,42,49,50,60,70,67,65,70,73,89,84,84,88,83,103,104,110,105,120,
Singapore,Internal transfers and grants,Million NCU,"1,915","1,341","1,662","2,007","1,718","1,765","1,936","2,205","2,715","3,035","3,372","3,638","4,232","5,215","6,076","7,227","7,689","8,322","8,633","9,743","14,254","15,865","15,570","15,208",
Solomon Islands,Internal transfers and grants,Million NCU,95,130,134,139,146,230,215,236,171,184,201,230,257,260,291,318,346,359,381,431,457,422,424,469,
Tonga,Internal transfers and grants,Million NCU,8,9,10,11,12,13,17,19,19,20,20,21,20,22,23,23,28,30,34,34,34,39,45,41,
Tuvalu,Internal transfers and grants,Million NCU,6,5,3,4,3,3,3,3,4,4,5,5,4,4,5,5,9,11,10,13,11,8,14,19,
Vanuatu,Internal transfers and grants,Million NCU,925,943,959,957,948,924,"1,043","1,176","1,361","1,267","1,261","1,627","1,593","1,610",441,"1,672","1,125","1,396","2,157","2,046","2,699","1,282","1,973","3,097",
Viet Nam,Internal transfers and grants,Million NCU,"2,938,984","2,682,356","2,967,286","3,593,756","5,294,637","7,142,104","9,722,065","11,906,410","15,118,589","17,846,225","25,182,570","33,171,679","42,624,235","49,071,090","58,086,601","55,980,230","55,564,863","42,845,570","33,615,411","31,808,709","37,373,292","75,263,825","77,145,412","87,919,217",
