Countries,Indicators,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Malawi,Internal transfers and grants,Million NCU,"2,574","2,523","3,680","4,773","4,572","6,417","7,226","5,583","13,128","11,708","16,693","20,327","20,223","41,967","56,736","85,529","106,101","112,285","121,558","126,035","137,717","135,814","103,445","129,620",
Mali,Internal transfers and grants,Million NCU,"26,610","26,187","29,729","38,189","45,299","45,425","43,492","38,205","30,727","31,198","26,206","26,256","17,823","42,297","51,096","51,596","70,518","73,550","80,015","79,166","129,052","113,747","102,679","104,737",
Mauritania,Internal transfers and grants,Million NCU,200,243,422,417,443,639,712,721,965,720,847,"1,058","1,373","1,874","1,854","2,199","2,015","2,208","2,189","2,489","2,427","2,904","2,980","2,854",
Mauritius,Internal transfers and grants,Million NCU,"1,981","2,235","2,589","2,866","3,452","3,433","3,655","3,810","4,003","4,671","6,226","5,858","6,665","7,290","9,655","9,737","10,921","11,675","12,379","12,790","13,129","16,040","14,354","15,700",
Mozambique,Internal transfers and grants,Million NCU,981,"1,535","1,657","1,840","2,012","2,917","2,760","3,275","3,790","4,305","4,820","5,335","5,850","7,760","9,669","11,579","13,114","14,648","16,183","17,718","23,651","24,183","27,597","30,109",
Namibia,Internal transfers and grants,Million NCU,"1,316","1,511","1,831","1,968","2,125","2,100","2,250","2,888","2,896","2,601","3,294","3,687","4,136","4,910","5,236","6,151","6,895","6,962","6,415","6,390","7,941","8,457","8,536","9,267",
Niger,Internal transfers and grants,Million NCU,"17,343","19,813","22,472","20,253","22,550","43,420","50,236","40,278","49,477","52,145","49,771","51,241","48,672","65,451","64,405","60,377","64,509","119,046","121,939","149,306","181,072","173,292","143,939","96,029",
Nigeria,Internal transfers and grants,Million NCU,"40,391","69,766","60,212","123,682","208,208","254,174","248,952","243,730","238,507","233,285","228,063","281,831","361,142","364,507","372,432","523,596","449,891","580,540","582,086","611,212","712,311","851,364","1,120,441","1,259,008",
Rwanda,Internal transfers and grants,Million NCU,"3,264","3,687","4,246","15,645","17,306","18,967","20,627","27,295","34,816","39,377","46,571","59,413","60,236","68,302","76,367","77,731","98,429","110,445","125,224","151,274","188,455","232,766","274,186","302,772",
Sao Tome and Principe,Internal transfers and grants,Million NCU,21,23,27,54,54,66,9,33,34,52,75,92,102,149,152,118,193,239,202,196,298,363,286,323,
Senegal,Internal transfers and grants,Million NCU,"48,457","61,155","58,758","71,205","78,317","83,438","96,541","75,793","90,978","93,261","78,041","93,374","92,444","93,189","87,357","90,062","85,938","95,358","109,885","103,044","189,869","139,901","139,182","170,500",
