variable code,variable name,long code (GHED data explorer),category 1,category 2,unit,currency,Method of measurement (INDICATORS category1),
location,Countries and territories name,-,-,-,-,-,-,
code,Countries and territories ISO3 code ,-,-,-,-,-,-,
region,Region (WHO),-,-,-,-,-,-,
income,Country income group 2021 (World Bank),-,-,-,-,-,-,
year,Year,-,-,-,-,-,-,
che_gdp,Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),CHE%GDP_SHA2011,INDICATORS,AGGREGATES,Percentage,-,Current Health Expenditure (CHE) / Gross Domestic Product (GDP),
che_pc_usd,Current Health Expenditure (CHE) per Capita in US$,CHE_pc_US$_SHA2011,INDICATORS,AGGREGATES,Ones,US$,Current Health Expenditure (CHE) / Population / Exchange rate (NCU to USD),
che,"Current Health Expenditure (CHE), in million current NCU",CHE,INDICATORS,AGGREGATES,Millions,NCU,Government schemes and compulsory contributory health care financing schemes (HF.1) + Voluntary health care payment schemes (HF.2) + Household out-of-pocket payment (HF.3) + Rest of the world financing schemes (non-resident) (HF.4) + Unspecified financing schemes (n.e.c.) (HF.nec),
gghed,"Domestic General Government Health Expenditure (GGHE-D), in million current NCU",GGHE-D,INDICATORS,AGGREGATES,Millions,NCU,Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3),
pvtd,"Domestic Private Health Expenditure (PVT-D), in million current NCU",PVT-D,INDICATORS,AGGREGATES,Millions,NCU,"Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)",
ext,"External Health Expenditure (EXT), in million current NCU",EXT,INDICATORS,AGGREGATES,Millions,NCU,Transfers distributed by government from foreign origin (FS.2) + Direct foreign transfers (FS.7),
dom_che,Domestic Health Expenditure (DOM) as % of Current Health Expenditure (CHE),DOM%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,"(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3) + Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)) / Current Health Expenditure (CHE)",
gghed_che,Domestic General Government Health Expenditure (GGHE-D) as % Current Health Expenditure (CHE),GGHE-D%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / Current Health Expenditure (CHE),
pvtd_che,Domestic Private Health Expenditure (PVT-D) as % Current Health Expenditure (CHE),PVT-D%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,"(Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)) / Current Health Expenditure (CHE)",
oops_che,Out-of-pocket (OOPS) as % of Current Health Expenditure (CHE),OOPS%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,Household out-of-pocket payment (HF.3) / Current Health Expenditure (CHE),
vpp_che,Voluntary Prepayments as % of Current Health Expenditure (CHE),VPP%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,Voluntary prepayment (FS.5) / Current Health Expenditure (CHE),
ext_che,External Health Expenditure (EXT) as % of Current Health Expenditure (CHE),EXT%CHE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers distributed by government from foreign origin (FS.2) + Direct foreign transfers (FS.7)) / Current Health Expenditure (CHE),
gghed_gdp,Domestic General Government Health Expenditure (GGHE-D) as % Gross Domestic Product (GDP),GGHE-D%GDP_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / Gross Domestic Product (GDP),
gghed_gge,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),GGHE-D%GGE_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / General Government Expenditure (GGE),
gghed_pc_usd,Domestic General Government Health Expenditure (GGHE-D) per Capita in US$,GGHE-D_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,(Transfers from government domestic revenue (allocated to health purposes) (FS.1) + Social insurance contributions (FS.3)) / Population / Exchange rate (NCU to USD),
pvtd_pc_usd,Domestic Private Health Expenditure (PVT-D) per Capita in US$,PVT-D_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,"(Compulsory prepayment (Other, and unspecified, than social insurance contributions) (FS.4) + Voluntary prepayment (FS.5) + Other domestic revenues n.e.c. (FS.6) + Unspecified revenues of health care financing schemes n.e.c. (FS.nec)) / Population / Exchange rate (NCU to USD)",
oop_pc_usd,Out-of-Pocket Expenditure (OOPS) per Capita in US$,OOP_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,Household out-of-pocket payment (HF.3) / Population / Exchange rate (NCU to USD),
ext_pc_usd,External Health Expenditure (EXT) per Capita in US$,EXT_pc_US$_SHA2011,INDICATORS,FINANCING SOURCES,Ones,US$,(Transfers distributed by government from foreign origin (FS.2) + Direct foreign transfers (FS.7)) / Population / Exchange rate (NCU to USD),
tran_shi,Government Subsidy to Social Health Insurance (TRAN) as % of Social Health Insurance (SHI),TRAN%SHI_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,(Social health insurance schemes (HF.1.2.1) - Social insurance contributions (FS.3)) / Social health insurance schemes (HF.1.2.1),
shise_shi,Self-Employed Contributions to Social Health Insurance (SHI-SE) as % of Social Health Insurance (SHI),SHI-SE%SHI_SHA2011,INDICATORS,FINANCING SOURCES,Percentage,-,Social insurance contributions from self-employed (FS.3.3) / Social health insurance schemes (HF.1.2.1),
cfa_che,Compulsory Financing Arrangements (CFA) as % of Current Health Expenditure (CHE),CFA%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Government schemes and compulsory contributory health care financing schemes (HF.1) / Current Health Expenditure (CHE),
gfa_che,Government Financing Arrangements (GFA) as % of Currrent Health Expenditure (CHE),GFA%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Government schemes (HF.1.1) / Current Health Expenditure (CHE),
chi_che,Compulsory Health Insurance (CHI) as % of Current Health Expenditure (CHE),CHI%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Compulsory contributory health insurance schemes (HF.1.2) / Current Health Expenditure (CHE),
shi_che,Social Health Insurance (SHI) as % of Current Health Expenditure (CHE),SHI%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Social health insurance schemes (HF.1.2.1) / Current Health Expenditure (CHE),
chi_pvt_che,Compulsory Private Health Insurance (CHI-PVT) as % of Current Health Expenditure (CHE),CHI_PVT%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Compulsory private insurance schemes (HF.1.2.2) / Current Health Expenditure (CHE),
vfa_che,Voluntary Financing Arrangements (VFA) as % of Current Health Expenditure (CHE),VFA%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,(Voluntary health care payment schemes (HF.2) + Household out-of-pocket payment (HF.3)) / Current Health Expenditure (CHE),
vhi_che,Voluntary Health Insurance (VHI) as % of Current Health Expenditure (CHE),VHI%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Voluntary health insurance schemes (HF.2.1) / Current Health Expenditure (CHE),
row_che,Rest of the World (RoW) as % of Current Health Expenditure (CHE),ROW%CHE_SHA2011,INDICATORS,FINANCING SCHEMES,Percentage,-,Rest of the world financing schemes (non-resident) (HF.4) / Current Health Expenditure (CHE),
phc_usd_pc,Primary Health Care (PHC) Expenditure per Capita in US$,PHC_pc_US$,INDICATORS,PRIMARY HEALTH CARE,Ones,US$,Primary Health Care Expenditure (PHCE) / Population / Exchange rate (NCU to USD),
phc_che,Primary Health Care (PHC) Expenditure as % Current Health Expenditure (CHE),PHC%CHE,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Primary Health Care Expenditure (PHCE) / Current Health Expenditure (CHE),
phc_gghed_usd_pc,Domestic General Government Expenditure on PHC per Capita in US$,GGHE-D_phc_pc_US$,INDICATORS,PRIMARY HEALTH CARE,Ones,US$,Domestic General Government Expenditure on PHC (PHCE_gghe-d) / Population / Exchange rate (NCU to USD),
gghed_phc_gghed,Domestic General Government Expenditure on PHC as % GGHE-D,GGHE-D_phc%GGHE-D,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Domestic General Government Expenditure on PHC (PHCE_gghe-d) / Domestic General Government Expenditure (GGHE-D),
gghed_phc_phc,Domestic General Government Expenditure on PHC as % PHC,GGHE-D_phc%PHC,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Domestic General Government Expenditure on PHC (PHCE_gghe-d) / Primary Health Care Expenditure (PHCE),
phc_ext_usd_pc,External Expenditure on PHC per Capita in US$,EXT_phc_pc_US$,INDICATORS,PRIMARY HEALTH CARE,Ones,US$,External sources of funding on Primary Health Care (PHCE_ext) / Population / Exchange rate (NCU to USD),
ext_phc_ext,External Expenditure on PHC as % EXT,EXT_phc%EXT,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,External sources of funding on Primary Health Care (PHCE_ext) / Health Expenditure from External sources (EXT),
ext_phc_phc,External Expenditure on PHC as % PHC,EXT_phc%PHC,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,External sources of funding on Primary Health Care (PHCE_ext) / Primary Health Care Expenditure (PHCE),
phc_public_gdp,PHC (government and donors) as % of GDP,phc_public_gdp,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,(Domestic General Government Expenditure on PHC (PHCE_gghe-d) + External sources of funding on Primary Health Care (PHCE_ext)) / Gross Domestic Product (GDP),
phc_pvtd_usd_pc,Domestic Private Expenditure on PHC per Capita in US$,PVTD_phc_pc_US$,INDICATORS,PRIMARY HEALTH CARE,Ones,US$,Domestic Private Health Expenditure on Primary Health Care (PHCE_pvtd) / Population / Exchange rate (NCU to USD),
pvtd_phc_pvtd,Domestic Private Expenditure on PHC as % PVTD,PVTD_phc%PVTD,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Domestic Private Health Expenditure on Primary Health Care (PHCE_pvtd) / Domestic Private Health Expenditure (PVT-D),
pvtd_phc_phc,Domestic Private Expenditure on PHC as % PHC,PVTD_phc%PHC,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Domestic Private Health Expenditure on Primary Health Care (PHCE_pvtd) / Primary Health Care Expenditure (PHCE),
hc62_che,Expenditure on Immunization Programmes as % Current Health Expenditure (CHE),HC62%CHE,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Expenditure on Immunization (HC.6.2) / Current Health Expenditure (CHE),
hc62_g_gghed,Domestic General Government Expenditure on Immunization Programmes as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_hc62%GGHE-D,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Domestic General Government Expenditure on immunization (HC.6.2_gghe-d) / Domestic General Government Expenditure (GGHE-D),
hc62_ext_ext,External sources of funding on Immunization Programmes as % of External Health Expenditure (EXT),EXT_hc62%EXT,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,External sources of funding on immunization (HC.6.2_ext) / Health Expenditure from External sources (EXT),
fp3214_che,Expenditure on Vaccines as % Current Health Expenditure (CHE),FP3214%CHE,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Expenditure on vaccines (FP.3.2.1.4) / Current Health Expenditure (CHE),
fp3214_gghed_fp3214,Domestic General Government Expenditure on Vaccines as % of expenditure on Vaccines,GGHE-D_fp3214%FP3214,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,Domestic General Government Expenditure on vaccines (FP.3.2.1.4_gghe-d) / Expenditure on vaccines (FP.3.2.1.4),
fp3214_ext_fp3214,External sources of funding on Vaccines as % of expenditure on Vaccines,EXT_fp3214%FP3214,INDICATORS,PRIMARY HEALTH CARE,Percentage,-,External sources of funding on vaccines (FP.3.2.1.4_ext) / Expenditure on vaccines (FP.3.2.1.4),
dis1_che,Expenditure on Infectious and Parasitic Diseases as % of Current Health Expenditure (CHE),dis1%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on infectious and parasitic diseases (DIS.1) / Current Health Expenditure (CHE),
dis11_che,Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Current Health Expenditure (CHE),dis11%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on HIV/AIDS and sexually transmitted diseases (STDs) (DIS.1.1) / Current Health Expenditure (CHE),
dis12_che,Expenditure on Tuberculosis (TB) as % of Current Health Expenditure (CHE),dis12%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on tuberculosis (DIS.1.2) / Current Health Expenditure (CHE),
dis13_che,Expenditure on Malaria as % of Current Health Expenditure (CHE),dis13%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on malaria (DIS.1.3) / Current Health Expenditure (CHE),
dis16_che,Expenditure on Neglected Tropical Diseases (NTDs) as % of Current Health Expenditure (CHE),dis16%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on Neglected Tropical Diseases (NTDs) (DIS.1.6) / Current Health Expenditure (CHE),
dis2_che,Expenditure on Reproductive Health as % of Current Health Expenditure (CHE),dis2%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on reproductive health (DIS.2) / Current Health Expenditure (CHE),
dis21_che,Expenditure on Maternal Conditions as % of Current Health Expenditure (CHE),dis21%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on maternal conditions (DIS.2.1) / Current Health Expenditure (CHE),
dis22_che,Expenditure on Perinatal Conditions as % of Current Health Expenditure (CHE),dis22%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on perintatal conditions (DIS.2.2) / Current Health Expenditure (CHE),
dis23_che,Expenditure on Contraceptive Management (Family Planning) as % of Current Health Expenditure (CHE),dis23%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on contraceptive management (family planning) (DIS.2.3) / Current Health Expenditure (CHE),
dis3_che,Expenditure on Nutritional Deficiencies as % of Current Health Expenditure (CHE),dis3%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on nutritional deficiencies (DIS.3) / Current Health Expenditure (CHE),
dis4_che,Expenditure on Noncommunicable Diseases (NCDs) as % of Current Health Expenditure (CHE),dis4%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on noncommunicable diseases (DIS.4) / Current Health Expenditure (CHE),
dis5_che,Expenditure on Injuries as % of Current Health Expenditure (CHE),dis5%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on injuries (DIS.5) / Current Health Expenditure (CHE),
disnec_che,Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Current Health Expenditure (CHE),disnec%CHE,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Expenditure on unspecified diseases and conditions (DIS.nec) / Current Health Expenditure (CHE),
dis1_g_gghed,Domestic General Government Expenditure on Infectious and Parasitic Diseases as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis1%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on infectious and parasitic diseases (DIS.1_gghe-d) / GGHE-D,
dis11_g_gghed,Domestic General Government Expenditure on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis11%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on HIV/AIDS and sexually transmitted diseases (DIS.1.1_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis12_g_gghed,Domestic General Government Expenditure on Tuberculosis (TB) as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis12%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on tuberculosis (DIS.1.2_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis13_g_gghed,Domestic General Government Expenditure on Malaria as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis13%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on malaria (DIS.1.3_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis16_g_gghed,Domestic General Government Expenditure on Neglected Tropical Diseases (NTDs) as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis16%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on neglected tropical diseases (DIS.1.6_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis2_g_gghed,Domestic General Government Expenditure on Reproductive Health as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis2%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on reproductive health (DIS.2_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis21_g_gghed,Domestic General Government Expenditure on Maternal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis21%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on maternal conditions (DIS.2.1_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis22_g_gghed,Domestic General Government Expenditure on Perinatal Conditions as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis22%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on perinatal conditions (DIS.2.2_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis23_g_gghed,Domestic General Government Expenditure on Contraceptive Management (Family Planning) as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis23%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on contraceptive management (family planning) (DIS.2.3_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis3_g_gghed,Domestic General Government Expenditure on Nutritional Deficiencies as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis3%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on nutritional deficiencies (DIS.3_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis4_g_gghed,Domestic General Government Expenditure on Noncommunicable Diseases (NCDs) as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis4%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on noncommunicable diseases (DIS.4_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis5_g_gghed,Domestic General Government Expenditure on Injuries as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_dis5%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on injuries (DIS.5_gghe-d) / Domestic General Government Expenditure (GGHE-D),
disnec_g_gghed,Domestic General Government Expenditure on other and unspecified diseases/conditions (n.e.c.) as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_disnec%GGHE-D,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on unspecified diseases and conditions (DIS.nec_gghe-d) / Domestic General Government Expenditure (GGHE-D),
dis1_ext_ext,External sources of funding on Infectious and Parasitic Diseases as % of External Health Expenditure (EXT),EXT_dis1%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on infectious and parasitic diseases (DIS.1_ext) / Health Expenditure from External sources (EXT),
dis11_ext_ext,External sources of funding on HIV/AIDS and Sexually Transmitted Diseases (STDs) as % of External Health Expenditure (EXT),EXT_dis11%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on HIV/AIDS and sexually transmitted diseases (DIS.1.1_ext) / Health Expenditure from External sources (EXT),
dis12_ext_ext,External sources of funding on Tuberculosis (TB) as % of External Health Expenditure (EXT),EXT_dis12%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on tuberculosis (DIS.1.2_ext) / Health Expenditure from External sources (EXT),
dis13_ext_ext,External sources of funding on Malaria as % of External Health Expenditure (EXT),EXT_dis13%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on malaria (DIS.1.3_ext) / Health Expenditure from External sources (EXT),
dis16_ext_ext,External sources of funding on Neglected Tropical Diseases (NTDs) as % of External Health Expenditure (EXT),EXT_dis16%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,Domestic General Government Expenditure on neglected tropical diseases (DIS.1.6_ext) / Health Expenditure from External sources (EXT),
dis2_ext_ext,External sources of funding on Reproductive Health as % of External Health Expenditure (EXT),EXT_dis2%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on reproductive health (DIS.2_ext) / Health Expenditure from External sources (EXT),
dis21_ext_ext,External sources of funding on Maternal Conditions as % of External Health Expenditure (EXT),EXT_dis21%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on maternal conditions (DIS.2.1_ext) / Health Expenditure from External sources (EXT),
dis22_ext_ext,External sources of funding on Perinatal Conditions as % of External Health Expenditure (EXT),EXT_dis22%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on perinatal conditions (DIS.2.2_ext) / Health Expenditure from External sources (EXT),
dis23_ext_ext,External sources of funding on Contraceptive Management (Family Planning) as % of External Health Expenditure (EXT),EXT_dis23%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on contraceptive management (family planning) (DIS.2.3_ext) / Health Expenditure from External sources (EXT),
dis3_ext_ext,External sources of funding on Nutritional Deficiencies as % of External Health Expenditure (EXT),EXT_dis3%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on nutritional deficiencies (DIS.3_ext) / Health Expenditure from External sources (EXT),
dis4_ext_ext,External sources of funding on Noncommunicable Diseases (NCDs) as % of External Health Expenditure (EXT),EXT_dis4%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on noncommunicable diseases (DIS.4_ext) / Health Expenditure from External sources (EXT),
dis5_ext_ext,External sources of funding on Injuries as % of External Health Expenditure (EXT),EXT_dis5%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on injuries (DIS.5_ext) / Health Expenditure from External sources (EXT),
disnec_ext_ext,External sources of funding on other and unspecified diseases/conditions (n.e.c.) as % of External Health Expenditure (EXT),EXT_disnec%EXT,INDICATORS,DISEASES AND CONDITIONS,Percentage,-,External sources of funding on unspecified diseases and conditions (DIS.nec_ext) / Health Expenditure from External sources (EXT),
hccov_che,Expenditure on COVID as % Current Health Expenditure (CHE),HC.COV%CHE,INDICATORS,COVID-19,Percentage,-,(COVID-19 related treatment (HC.COV.1) + COVID-19 testing and contract tracing (HC.COV.2) + Vaccination against SARS-CoV-2 / COVID-19 (HC.COV.3) + COVID-19 medical goods (HC.COV.4) + Other COVID-19 related health spending (included in current health expenditure) (HC.COV.5)) / Current Health Expenditure (CHE),
hccov_usd_pc,Expenditure on COVID-19 per Capita in US$,HC.COV_pc_US$,INDICATORS,COVID-19,Ones,US$,(COVID-19 related treatment (HC.COV.1) + COVID-19 testing and contract tracing (HC.COV.2) + Vaccination against SARS-CoV-2 / COVID-19 (HC.COV.3) + COVID-19 medical goods (HC.COV.4) + Other COVID-19 related health spending (included in current health expenditure) (HC.COV.5)) / Population / Exchange rate (NCU to USD),
hccov_gghed_gghed,Domestic General Government Expenditure on COVID-19 as % of Domestic General Government Expenditure on Health (GGHE-D),GGHE-D_hccov%GGHE-D,INDICATORS,COVID-19,Percentage,-,Domestic General Government Expenditure on COVID-19 (HC.COV_gghe-d) / Domestic General Government Expenditure (GGHE-D),
hccov_ext_ext,External sources of funding on COVID-19 as % of External Health Expenditure (EXT),EXT_hccov%EXT,INDICATORS,COVID-19,Percentage,-,External sources of funding on COVID-19 (HC.COV_ext) / Health Expenditure from External sources (EXT),
gge_gdp,General Government Expenditure (GGE) as % Gross Domestic Product (GDP),GGE%GDP_SHA2011,INDICATORS,MACRO,Percentage,-,General Government Expenditure (GGE) / Gross Domestic Product (GDP),
gdp_pc_usd,Gross Domestic Product (GDP) per Capita in US$,GDP_pc_US$_SHA2011,INDICATORS,MACRO,Ones,US$,Gross Domestic Product (GDP) / Population / Exchange rate (NCU to USD),
fs,"Current health expenditure by revenues of health care financing schemes, in million current NCU",sha11.FS,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs1,"Transfers from government domestic revenue (allocated to health purposes), in million current NCU",sha11.FS.1,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs11,"Internal transfers and grants, in million current NCU",sha11.FS.1.1,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs12,"Transfers by government on behalf of specific groups, in million current NCU",sha11.FS.1.2,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs13,"Subsidies, in million current NCU",sha11.FS.1.3,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs14,"Other transfers from government domestic revenue, in million current NCU",sha11.FS.1.4,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs2,"Transfers distributed by government from foreign origin, in million current NCU",sha11.FS.2,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs3,"Social insurance contributions, in million current NCU",sha11.FS.3,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs31,"Social insurance contributions from employees, in million current NCU",sha11.FS.3.1,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs32,"Social insurance contributions from employers, in million current NCU",sha11.FS.3.2,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs33,"Social insurance contributions from self-employed, in million current NCU",sha11.FS.3.3,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs34,"Other social insurance contributions, in million current NCU",sha11.FS.3.4,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs4,"Compulsory prepayment (Other, and unspecified, than FS.3), in million current NCU",sha11.FS.4,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs5,"Voluntary prepayment, in million current NCU",sha11.FS.5,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs6,"Other domestic revenues n.e.c., in million current NCU",sha11.FS.6,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs61,"Other revenues from households n.e.c., in million current NCU",sha11.FS.6.1,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs62,"Other revenues from corporations n.e.c., in million current NCU",sha11.FS.6.2,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs63,"Other revenues from NPISH n.e.c., in million current NCU",sha11.FS.6.3,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs6nec,"Unspecified other domestic revenues (n.e.c.), in million current NCU",sha11.FS.6.nec,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fs7,"Direct foreign transfers, in million current NCU",sha11.FS.7,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
fsnec,"Unspecified revenues of health care financing schemes (n.e.c.), in million current NCU",sha11.FS.nec,HEALTH EXPENDITURE DATA,REVENUES,Millions,NCU,-,
